Abacopteris multilineata
Abarema adenophora
Abarema barbouriana
Abarema brachystachya
Abarema cochliacarpos
Abarema curvicarpa
Abarema jupunba
Abarema laeta
Abarema macradenia
Abarema mataybifolia
Abarema piresii
Abatia parviflora
Abelia biflora
Abelia chinensis
Abelia dielsii
Abelia graebneriana
Abelia grandiflora
Abelia integrifolia
Abelia mosanensis
Abelia serrata
Abelia spathulata
Abelia triflora
Abeliophyllum distichum
Abelmoschus crinitus
Abelmoschus esculentus
Abelmoschus ficulneus
Abelmoschus manihot
Abelmoschus moschatus
Abies alba
Abies amabilis
Abies arizonica
Abies balsamea
Abies borisii-regis
Abies bornmuelleriana
Abies bracteata
Abies cephalonica
Abies chensiensis
Abies cilicica
Abies concolor
Abies delavayi
Abies densa
Abies ernestii
Abies fabri
Abies fargesii
Abies faxoniana
Abies firma
Abies forrestii
Abies fraseri
Abies georgei
Abies grandis
Abies guatemalensis
Abies holophylla
Abies homolepis
Abies kawakamii
Abies koreana
Abies lasiocarpa
Abies magnifica
Abies mariesii
Abies marocana
Abies nebrodensis
Abies nephrolepis
Abies nordmanniana
Abies numidica
Abies pardei
Abies pindrow
Abies pinsapo
Abies procera
Abies recurvata
Abies religiosa
Abies sachalinensis
Abies shastensis
Abies sibirica
Abies sp
Abies spectabilis
Abies squamata
Abies veitchii
Abies vejarii
Abiu caramuri
Abiu sp
Abroma augusta
Abronia ameliae
Abronia fragrans
Abronia latifolia
Abronia maritima
Abronia pogonantha
Abronia turbinata
Abronia umbellata
Abronia villosa
Abrophyllum ornans
Abrus canescens
Abrus laevigatus
Abrus precatorius
Abrus pulchellus
Abrus schimperi
Abrus sp
Abuta grandifolia
Abuta grisebachii
Abuta imene
Abuta pahni
Abuta panamensis
Abuta racemosa
Abuta rufescens
Abuta solimoesensis
Abuta velutina
Abutilon abutiloides
Abutilon angulatum
Abutilon auritum
Abutilon austro-africanum
Abutilon austroafricanum
Abutilon bidentatum
Abutilon canariense
Abutilon cryptopetalum
Abutilon dugesii
Abutilon ellipticum
Abutilon englerianum
Abutilon eremitopetalum
Abutilon fraseri
Abutilon fruticosum
Abutilon glabriflorum
Abutilon grandiflorum
Abutilon grantii
Abutilon greveanum
Abutilon guineense
Abutilon hirtum
Abutilon incanum
Abutilon indicum
Abutilon lauraster
Abutilon lepidum
Abutilon leucopetalum
Abutilon longicuspe
Abutilon matopense
Abutilon mauritianum
Abutilon menziesii
Abutilon mitchelli
Abutilon molle
Abutilon muticum
Abutilon otocarpum
