"gbif","tank","genus_jw","se_jw","gswitch","bothtpl","suspect","remove","keep.manual"
"Salix pyrolifolia","Salix pyrolaefolia",1,0.9404040404,"False",TRUE,TRUE,TRUE,TRUE
"Schlechtendalia luzulaefolia","Schlechtendalia luzulifolia",1,0.9404040404,"False",TRUE,TRUE,TRUE,TRUE
"Bactris setosa","Bactris setulosa",1,0.9416666667,"False",TRUE,TRUE,TRUE,TRUE
"Anemone silvestris","Anemone sylvestris",1,0.94,"False",FALSE,TRUE,FALSE,TRUE
"Elaeocarpus silvestris","Elaeocarpus sylvestris",1,0.94,"False",FALSE,TRUE,FALSE,TRUE
"Lychnis silvestris","Lychnis sylvestris",1,0.94,"False",FALSE,TRUE,FALSE,TRUE
"Malva silvestris","Malva sylvestris",1,0.94,"False",FALSE,TRUE,FALSE,TRUE
"Pinus silvestris","Pinus sylvestris",1,0.94,"False",FALSE,TRUE,FALSE,TRUE
"Potentilla silvestris","Potentilla sylvestris",1,0.94,"False",FALSE,TRUE,FALSE,TRUE
"Pteris macroptera","Pteris microptera",1,0.94,"False",FALSE,TRUE,FALSE,TRUE
"Rorippa silvestris","Rorippa sylvestris",1,0.94,"False",FALSE,TRUE,FALSE,TRUE
"Salvia silvestris","Salvia sylvestris",1,0.94,"False",FALSE,TRUE,FALSE,TRUE
"Tulipa silvestris","Tulipa sylvestris",1,0.94,"False",FALSE,TRUE,FALSE,TRUE
"Vitis silvestris","Vitis sylvestris",1,0.94,"False",FALSE,TRUE,FALSE,TRUE
"Carallia lanceaefolia","Carallia lanceifolia",1,0.9404040404,"False",FALSE,TRUE,FALSE,TRUE
"Diospyros capreaefolia","Diospyros capreifolia",1,0.9404040404,"False",FALSE,TRUE,FALSE,TRUE
"Diplasia karataefolia","Diplasia karatifolia",1,0.9404040404,"False",FALSE,TRUE,FALSE,TRUE
"Erica tegulaefolia","Erica tegulifolia",1,0.9404040404,"False",FALSE,TRUE,FALSE,TRUE
"Primula pirolaefolia","Primula pirolifolia",1,0.9404040404,"False",FALSE,TRUE,FALSE,TRUE
"Pyrus betulaefolia","Pyrus betulifolia",1,0.9404040404,"False",FALSE,TRUE,FALSE,TRUE
"Spiraea betulaefolia","Spiraea betulifolia",1,0.9404040404,"False",FALSE,TRUE,FALSE,TRUE
"Vachellia campeachiana","Vachellia campechiana",1,0.9406565657,"False",FALSE,TRUE,FALSE,TRUE
"Panicum longeracemosum","Panicum longiracemosum",1,0.9406593407,"False",FALSE,TRUE,FALSE,TRUE
"Indigofera bracteata","Indigofera bracteola",1,0.9407407407,"False",FALSE,TRUE,FALSE,TRUE
"Ranunculus aquaticus","Ranunculus aquatilis",1,0.9407407407,"False",FALSE,TRUE,FALSE,TRUE
"Rhipsalis carnosa","Rhipsalis cavernosa",1,0.9407407407,"False",FALSE,TRUE,FALSE,TRUE
"Rosa granulata","Rosa granulosa",1,0.9407407407,"False",FALSE,TRUE,FALSE,TRUE
"Salsola angularis","Salsola annularis",1,0.9407407407,"False",FALSE,TRUE,FALSE,TRUE
"Salvia laciniosa","Salvia laciniata",1,0.9407407407,"False",FALSE,TRUE,FALSE,TRUE
"Senecio arcnarius","Senecio arenarius",1,0.9407407407,"False",FALSE,TRUE,FALSE,TRUE
"Solanum distichum","Solanum ditrichum",1,0.9407407407,"False",FALSE,TRUE,FALSE,TRUE
"Trifolium fulcratum","Trifolium fucatum",1,0.9407407407,"False",FALSE,TRUE,FALSE,TRUE
"Xyris latifolia","Xyris laxifolia",1,0.9407407407,"False",FALSE,TRUE,FALSE,TRUE
"Acacia demostachya","Acacia desmostachya",1,0.9414141414,"False",FALSE,TRUE,FALSE,TRUE
"Amaranthus spiratus","Amaranthus spicatus",1,0.9416666667,"False",FALSE,TRUE,FALSE,TRUE
"Cestrum servatum","Cestrum serratum",1,0.9416666667,"False",FALSE,TRUE,FALSE,TRUE
