"gbif","tank","genus_jw","se_jw","gswitch","bothtpl","suspect","remove","keep.manual"
"Dioscorea huii","Dioscorea hui",1,0.9416666667,"False",FALSE,TRUE,FALSE,TRUE
"Lobelia giberroa","Lobelia gibberoa",1,0.9416666667,"False",FALSE,TRUE,FALSE,TRUE
"Prunus venulosa","Prunus venosa",1,0.9416666667,"False",FALSE,TRUE,FALSE,TRUE
"Ranunculus sericeus","Ranunculus serbicus",1,0.9416666667,"False",FALSE,TRUE,FALSE,TRUE
"Rubus rosaceus","Rubus roseus",1,0.9416666667,"False",FALSE,TRUE,FALSE,TRUE
"Salix wardiana","Salix wargiana",1,0.9416666667,"False",FALSE,TRUE,FALSE,TRUE
"Hieracium ambigosum","Hieracium ambiguum",1,0.9421296296,"False",FALSE,TRUE,FALSE,TRUE
"Mimosa pilifera","Mimosa piliflora",1,0.9421296296,"False",FALSE,TRUE,FALSE,TRUE
"Silene conifera","Silene coniflora",1,0.9421296296,"False",FALSE,TRUE,FALSE,TRUE
"Campanula elata","Campanula elatina",1,0.9428571429,"False",FALSE,TRUE,FALSE,TRUE
"Croton dracena","Croton dracona",1,0.9428571429,"False",FALSE,TRUE,FALSE,TRUE
"Eugenia parvula","Eugenia parva",1,0.9428571429,"False",FALSE,TRUE,FALSE,TRUE
"Fagus obligua","Fagus obliqua",1,0.9428571429,"False",FALSE,TRUE,FALSE,TRUE
"Gentianella dentosa","Gentianella detonsa",1,0.9428571429,"False",FALSE,TRUE,FALSE,TRUE
"Poa novarae","Poa novae",1,0.9428571429,"False",FALSE,TRUE,FALSE,TRUE
"Rosa firmula","Rosa firma",1,0.9428571429,"False",FALSE,TRUE,FALSE,TRUE
"Saxifraga flavida","Saxifraga flava",1,0.9428571429,"False",FALSE,TRUE,FALSE,TRUE
"Strophostyles helvula","Strophostyles helvola",1,0.9428571429,"False",FALSE,TRUE,FALSE,TRUE
"Erica buccinaeformis","Erica bucciniformis",1,0.9429181929,"False",FALSE,TRUE,FALSE,TRUE
"Senecio mikaniiformis","Senecio mikaniaeformis",1,0.9429181929,"False",FALSE,TRUE,FALSE,TRUE
"Arabis patriniana","Arabis patrianiana",1,0.9431818182,"False",FALSE,TRUE,FALSE,TRUE
"Agave lechuguilla","Agave lecheguilla",1,0.9436363636,"False",FALSE,TRUE,FALSE,TRUE
"Hieracium subpitense","Hieracium subpratense",1,0.9436363636,"False",FALSE,TRUE,FALSE,TRUE
"Protea cyanoides","Protea cynaroides",1,0.9437037037,"False",FALSE,TRUE,FALSE,TRUE
"Arundinaria usawai","Arundinaria usawae",1,0.9444444444,"False",FALSE,TRUE,FALSE,TRUE
"Curcuma zanthorrhiza","Curcuma xanthorrhiza",1,0.9444444444,"False",FALSE,TRUE,FALSE,TRUE
"Cyclobalanopsis hondai","Cyclobalanopsis hondae",1,0.9444444444,"False",FALSE,TRUE,FALSE,TRUE
"Diospyros mabola","Diospyros mabolo",1,0.9444444444,"False",FALSE,TRUE,FALSE,TRUE
"Pseudosasa usawai","Pseudosasa usawae",1,0.9444444444,"False",FALSE,TRUE,FALSE,TRUE
"Quercus hondai","Quercus hondae",1,0.9444444444,"False",FALSE,TRUE,FALSE,TRUE
"Rhamnus biglandulosa","Rhamnus glandulosa",1,0.9444444444,"False",FALSE,TRUE,FALSE,TRUE
"Salvia accidentalis","Salvia occidentalis",1,0.9444444444,"False",FALSE,TRUE,FALSE,TRUE
"Lotus longisiliquosus","Lotus longesiliquosus",1,0.9447619048,"False",FALSE,TRUE,FALSE,TRUE
"Podocarpus longefoliolatus","Podocarpus longifoliolatus",1,0.9447619048,"False",FALSE,TRUE,FALSE,TRUE
"Sisymbrium longesiliquosum","Sisymbrium longisiliquosum",1,0.9447619048,"False",FALSE,TRUE,FALSE,TRUE
"Saponaria oxyodonta","Saponaria oxydonta",1,0.9449074074,"False",FALSE,TRUE,FALSE,TRUE
"Symplocos cerasifolia","Symplocos crassifolia",1,0.9454545455,"False",FALSE,TRUE,FALSE,TRUE
"Tabernaemontana unguiculata","Tabernaemontana urguiculata",1,0.9454545455,"False",FALSE,TRUE,FALSE,TRUE
"Quercus vaccinifolia","Quercus vacciinifolia",1,0.9455128205,"False",FALSE,TRUE,FALSE,TRUE
"Silene pseudatocion","Silene pseudoatocion",1,0.9455128205,"False",FALSE,TRUE,FALSE,TRUE
"Calopogonium pedunculatum","Calopogonium pendunculatum",1,0.9461538462,"False",FALSE,TRUE,FALSE,TRUE
"Eucalyptus odorata","Eucalyptus odortata",1,0.9464285714,"False",FALSE,TRUE,FALSE,TRUE
"Ficus rufipes","Ficus ruficeps",1,0.9464285714,"False",FALSE,TRUE,FALSE,TRUE
"Pinus stendishii","Pinus standishii",1,0.9466666667,"False",FALSE,TRUE,FALSE,TRUE
"Piper aurilimbum","Piper auritilimbum",1,0.9466666667,"False",FALSE,TRUE,FALSE,TRUE
"Rubus rorulentus","Rubus rosulentus",1,0.9466666667,"False",FALSE,TRUE,FALSE,TRUE
"Juncus lamprocarpus","Juncus lampocarpus",1,0.946969697,"False",FALSE,TRUE,FALSE,TRUE
"Acanthosicyos horrida","Acanthosicyos horridus",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Adenanthos sericea","Adenanthos sericeus",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Afrocarpus falcata","Afrocarpus falcatus",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Agyneia impubera","Agyneia impubes",1,0.9476190476,"False",FALSE,TRUE,FALSE,TRUE
"Aleurites montana","Aleurites montanus",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Anigozanthos flavida","Anigozanthos flavidus",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Atriplex hastatum","Atriplex hastata",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Belonanthus hispidus","Belonanthus hispida",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Calodendrum capensis","Calodendrum capense",1,0.9476190476,"False",FALSE,TRUE,FALSE,TRUE
"Ceratocephala incurva","Ceratocephala incurvus",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Ceratostema serrata","Ceratostema serratum",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Chionanthus montana","Chionanthus montanus",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Cissus diffusus","Cissus diffusa",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Cotinus obovatus","Cotinus obovata",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Cotoneaster nervosus","Cotoneaster nervosa",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Cucumis ambigua","Cucumis ambiguus",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Cucumis jucundus","Cucumis jucunda",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Cucumis bardana","Cucumis bardanus",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Dendromecon flexilis","Dendromecon flexile",1,0.9476190476,"False",FALSE,TRUE,FALSE,TRUE
"Dicranostyles villosa","Dicranostyles villosus",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Lycianthes biflorum","Lycianthes biflora",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Marah fabacea","Marah fabaceus",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Melastoma umbrosa","Melastoma umbrosum",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Nama systylum","Nama systyla",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Ophioderma pendulum","Ophioderma pendula",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Oreobroma pygmaea","Oreobroma pygmaeum",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Orites excelsus","Orites excelsa",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Parthenocissus insertus","Parthenocissus inserta",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Petasites frigida","Petasites frigidus",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Phaenosperma globosum","Phaenosperma globosa",1,0.9476190476,"True",TRUE,TRUE,FALSE,TRUE
"Phaseolus carteri","Phaseolus carterae",1,0.9476190476,"False",FALSE,TRUE,FALSE,TRUE
"Podocarpus saligna","Podocarpus salignus",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Podocarpus spicata","Podocarpus spicatus",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Podocarpus chilina","Podocarpus chilinus",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Podocarpus falcata","Podocarpus falcatus",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Scorpiurus sulcata","Scorpiurus sulcatus",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Statice limonia","Statice limonium",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Symplocos tanakana","Symplocos tanakae",1,0.9476190476,"False",FALSE,TRUE,FALSE,TRUE
"Talinum pygmaea","Talinum pygmaeum",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Triglochin procerum","Triglochin procera",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Triglochin striatum","Triglochin striata",1,0.9476190476,"True",FALSE,TRUE,FALSE,TRUE
"Viburnum sinensis","Viburnum sinense",1,0.9476190476,"False",FALSE,TRUE,FALSE,TRUE
"Juncus cyperinus","Juncus cyprius",1,0.9481481481,"False",FALSE,TRUE,FALSE,TRUE
"Peperomia tenuipila","Peperomia tenuispica",1,0.9481481481,"False",FALSE,TRUE,FALSE,TRUE
"Silene chirensis","Silene chilensis",1,0.9481481481,"False",FALSE,TRUE,FALSE,TRUE
"Lucuma domingensis","Lucuma dominigensis",1,0.9482323232,"False",FALSE,TRUE,FALSE,TRUE
"Pouteria domingensis","Pouteria dominigensis",1,0.9482323232,"False",FALSE,TRUE,FALSE,TRUE
"Irvingia longepedicellata","Irvingia longipedicellata",1,0.9483333333,"False",FALSE,TRUE,FALSE,TRUE
"Galium corrudaefolium","Galium corrudifolium",1,0.9484737485,"False",FALSE,TRUE,FALSE,TRUE
"Gnaphalium undulatifolium","Gnaphalium undulaefolium",1,0.9484737485,"False",FALSE,TRUE,FALSE,TRUE
"Sisymbrium jacobeaefolium","Sisymbrium jacobeifolium",1,0.9484737485,"False",FALSE,TRUE,FALSE,TRUE
"Canna warscewiczii","Canna warszewiczii",1,0.9484848485,"False",FALSE,TRUE,FALSE,TRUE
"Erodium oxyrrhynchum","Erodium oxyrhinchum",1,0.9484848485,"False",FALSE,TRUE,FALSE,TRUE
"Saussurea gossypiphora","Saussurea gossipiphora",1,0.9484848485,"False",FALSE,TRUE,FALSE,TRUE
"Mandevilla veraguensis","Mandevilla veraguasensis",1,0.9491841492,"False",FALSE,TRUE,FALSE,TRUE
"Ranunculus baldschuanicus","Ranunculus baldshuanicus",1,0.9496336996,"False",FALSE,TRUE,FALSE,TRUE
"Arctotis macrocephala","Arctotis microcephala",1,0.95,"False",FALSE,TRUE,FALSE,TRUE
"Carex marima","Carex maritima",1,0.95,"False",FALSE,TRUE,FALSE,TRUE
"Festuca coerulescens","Festuca caerulescens",1,0.95,"False",FALSE,TRUE,FALSE,TRUE
"Helianthus macrophyllus","Helianthus microphyllus",1,0.95,"False",FALSE,TRUE,FALSE,TRUE
"Hieracium fuscatum","Hieracium fuscum",1,0.95,"False",FALSE,TRUE,FALSE,TRUE
"Lobularia lybica","Lobularia libyca",1,0.95,"False",FALSE,TRUE,FALSE,TRUE
"Lonicera alpina","Lonicera alpigena",1,0.95,"False",FALSE,TRUE,FALSE,TRUE
"Lycium microphyllum","Lycium macrophyllum",1,0.95,"False",FALSE,TRUE,FALSE,TRUE
"Odontites luteolus","Odontites luteus",1,0.95,"False",FALSE,TRUE,FALSE,TRUE
"Peperomia bayajana","Peperomia bayatana",1,0.95,"False",FALSE,TRUE,FALSE,TRUE
"Pimpinella anisetum","Pimpinella anisum",1,0.95,"False",FALSE,TRUE,FALSE,TRUE
"Poa langiana","Poa langeana",1,0.95,"False",FALSE,TRUE,FALSE,TRUE
"Polygonum strictum","Polygonum striatum",1,0.95,"False",FALSE,TRUE,FALSE,TRUE
"Psilocarphus oreganus","Psilocarphus oregonus",1,0.95,"False",FALSE,TRUE,FALSE,TRUE
"Pternandra coerulescens","Pternandra caerulescens",1,0.95,"False",FALSE,TRUE,FALSE,TRUE
"Senecio lyratifolius","Senecio latifolius",1,0.95,"False",FALSE,TRUE,FALSE,TRUE
"Senecio aurellus","Senecio aureus",1,0.95,"False",FALSE,TRUE,FALSE,TRUE
"Thlaspi coerulescens","Thlaspi caerulescens",1,0.95,"False",FALSE,TRUE,FALSE,TRUE
"Aechmea luddemanniana","Aechmea lueddemanniana",1,0.9501831502,"False",FALSE,TRUE,FALSE,TRUE
"Sedum nicaense","Sedum nicaeense",1,0.9502314815,"False",FALSE,TRUE,FALSE,TRUE
"Annona cheirimola","Annona cherimola",1,0.9507407407,"False",FALSE,TRUE,FALSE,TRUE
"Castilleja rhexiifolia","Castilleja rhexifolia",1,0.9515151515,"False",FALSE,TRUE,FALSE,TRUE
"Ceriops timorensis","Ceriops timoriensis",1,0.9515151515,"False",FALSE,TRUE,FALSE,TRUE
"Erythroseris somalensis","Erythroseris somaliensis",1,0.9515151515,"False",FALSE,TRUE,FALSE,TRUE
"Gyrostipula comorensis","Gyrostipula comoriensis",1,0.9515151515,"False",FALSE,TRUE,FALSE,TRUE
"Peperomia rotumaensis","Peperomia romaensis",1,0.9515151515,"False",FALSE,TRUE,FALSE,TRUE
"Salvia dolicantha","Salvia dolichantha",1,0.9515151515,"False",FALSE,TRUE,FALSE,TRUE
"Senna timoriensis","Senna timorensis",1,0.9515151515,"False",FALSE,TRUE,FALSE,TRUE
"Opuntia tricophora","Opuntia trichophora",1,0.9518181818,"False",FALSE,TRUE,FALSE,TRUE
"Rudgea loretensis","Rudgea lorentensis",1,0.9518181818,"False",FALSE,TRUE,FALSE,TRUE
"Aira tenorii","Aira tenorei",1,0.9523809524,"False",FALSE,TRUE,FALSE,TRUE
"Ajuga tenorii","Ajuga tenorei",1,0.9523809524,"False",FALSE,TRUE,FALSE,TRUE
"Artocarpus integra","Artocarpus integer",1,0.9523809524,"True",FALSE,TRUE,FALSE,TRUE
"Carlina frigida","Carlina rigida",1,0.9523809524,"False",FALSE,TRUE,FALSE,TRUE
"Cereus fernambucensis","Cereus pernambucensis",1,0.9523809524,"False",FALSE,TRUE,FALSE,TRUE
"Citrus limonia","Citrus limon",1,0.9523809524,"False",FALSE,TRUE,FALSE,TRUE
"Ficus ampelos","Ficus ampelas",1,0.9523809524,"False",FALSE,TRUE,FALSE,TRUE
"Hesperochiron pumilus","Hesperochiron pumilis",1,0.9523809524,"False",FALSE,TRUE,FALSE,TRUE
"Hypericum helodes","Hypericum elodes",1,0.9523809524,"False",FALSE,TRUE,FALSE,TRUE
"Phragmipedium pearcii","Phragmipedium pearcei",1,0.9523809524,"False",FALSE,TRUE,FALSE,TRUE
"Picea omorica","Picea omorika",1,0.9523809524,"False",FALSE,TRUE,FALSE,TRUE
"Scorzonera tenorii","Scorzonera tenorei",1,0.9523809524,"False",FALSE,TRUE,FALSE,TRUE
"Silene barbara","Silene barbata",1,0.9523809524,"False",FALSE,TRUE,FALSE,TRUE
"Spiraea roseata","Spiraea rosea",1,0.9523809524,"False",FALSE,TRUE,FALSE,TRUE
"Vicia ervilla","Vicia ervilia",1,0.9523809524,"False",FALSE,TRUE,FALSE,TRUE
"Zygopetalum mackaii","Zygopetalum mackayi",1,0.9523809524,"False",FALSE,TRUE,FALSE,TRUE
"Croton glandulatus","Croton glandulosus",1,0.9525252525,"False",FALSE,TRUE,FALSE,TRUE
"Allium scordoprassum","Allium scorodoprasum",1,0.9525641026,"False",FALSE,TRUE,FALSE,TRUE
"Begonia plantanifolia","Begonia platanifolia",1,0.9528846154,"False",FALSE,TRUE,FALSE,TRUE
"Polygonum perforatum","Polygonum perfoliatum",1,0.953030303,"False",FALSE,TRUE,FALSE,TRUE
"Bupleurum prostratum","Bupleurum protractum",1,0.9533333333,"False",FALSE,TRUE,FALSE,TRUE
"Crataegus parciflora","Crataegus parviflora",1,0.9533333333,"False",FALSE,TRUE,FALSE,TRUE
"Diospyros melinoni","Diospyros mellinonii",1,0.9533333333,"False",FALSE,TRUE,FALSE,TRUE
"Ficus guianensis","Ficus guineensis",1,0.9533333333,"False",FALSE,TRUE,FALSE,TRUE
"Guettarda uruquensis","Guettarda uruguensis",1,0.9533333333,"False",FALSE,TRUE,FALSE,TRUE
"Quiotania colombiana","Quiotania columbiana",1,0.9533333333,"False",FALSE,TRUE,FALSE,TRUE
"Usteria guianensis","Usteria guineensis",1,0.9533333333,"False",FALSE,TRUE,FALSE,TRUE
"Cousinia syrdarjensis","Cousinia syrdariensis",1,0.9535353535,"False",FALSE,TRUE,FALSE,TRUE
"Camphorosma vingintimilleis","Camphorosma vigintimilleis",1,0.9536507937,"False",FALSE,TRUE,FALSE,TRUE
"Cleome didynama","Cleome didynarna",1,0.9537037037,"False",FALSE,TRUE,FALSE,TRUE
"Gentiana purpurata","Gentiana purpurea",1,0.9537037037,"False",FALSE,TRUE,FALSE,TRUE
"Impatiens balsamma","Impatiens balsamina",1,0.9537037037,"False",FALSE,TRUE,FALSE,TRUE
"Jasione pyrenaea","Jasione pyrenaica",1,0.9537037037,"False",FALSE,TRUE,FALSE,TRUE
"Litsea glabrata","Litsea glabraria",1,0.9537037037,"False",FALSE,TRUE,FALSE,TRUE
"Rosa virginea","Rosa virginica",1,0.9537037037,"False",FALSE,TRUE,FALSE,TRUE
"Saxifraga purpurea","Saxifraga purpurosa",1,0.9537037037,"False",FALSE,TRUE,FALSE,TRUE
"Silene coronata","Silene coronaria",1,0.9537037037,"False",FALSE,TRUE,FALSE,TRUE
"Piper tesseraespicum","Piper tesserispicum",1,0.954029304,"False",FALSE,TRUE,FALSE,TRUE
"Lotus coimbricensis","Lotus coimbrensis",1,0.9552447552,"False",FALSE,TRUE,FALSE,TRUE
"Simsia lagasceiformis","Simsia lagascaeformis",1,0.9553113553,"False",FALSE,TRUE,FALSE,TRUE
"Acantholippia punensis","Acantholippia punenis",1,0.9553571429,"False",FALSE,TRUE,FALSE,TRUE
"Arachis hypogea","Arachis hypogaea",1,0.9553571429,"False",FALSE,TRUE,FALSE,TRUE
"Rhamnus iguanea","Rhamnus iguanaea",1,0.9553571429,"False",FALSE,TRUE,FALSE,TRUE
"Alnus serrata","Alnus serrulata",1,0.9555555556,"False",FALSE,TRUE,FALSE,TRUE
"Aristotelia maqui","Aristotelia macqui",1,0.9555555556,"False",FALSE,TRUE,FALSE,TRUE
"Berberis serrata","Berberis serrulata",1,0.9555555556,"False",FALSE,TRUE,FALSE,TRUE
"Cedrela serrata","Cedrela serrulata",1,0.9555555556,"False",FALSE,TRUE,FALSE,TRUE
"Cistanche phelipaea","Cistanche phelypaea",1,0.9555555556,"False",FALSE,TRUE,FALSE,TRUE
"Clusia cruiva","Clusia criuva",1,0.9555555556,"False",FALSE,TRUE,FALSE,TRUE
"Dryopteris spinosa","Dryopteris spinulosa",1,0.9555555556,"False",FALSE,TRUE,FALSE,TRUE
"Eriogonum laetum","Eriogonum latum",1,0.9555555556,"False",FALSE,TRUE,FALSE,TRUE
"Euphorbia escula","Euphorbia esula",1,0.9555555556,"False",FALSE,TRUE,FALSE,TRUE
"Hieracium echinodes","Hieracium echioides",1,0.9555555556,"False",FALSE,TRUE,FALSE,TRUE
"Hieracium lanigerum","Hieracium laniferum",1,0.9555555556,"False",FALSE,TRUE,FALSE,TRUE
"Pieris huiana","Pieris huana",1,0.9555555556,"False",FALSE,TRUE,FALSE,TRUE
"Polypodium setigerum","Polypodium setiferum",1,0.9555555556,"False",FALSE,TRUE,FALSE,TRUE
"Potentilla hypartica","Potentilla hyparctica",1,0.9555555556,"False",FALSE,TRUE,FALSE,TRUE
"Pteris serrata","Pteris serrulata",1,0.9555555556,"False",FALSE,TRUE,FALSE,TRUE
"Pyrus crenulata","Pyrus crenata",1,0.9555555556,"False",FALSE,TRUE,FALSE,TRUE
"Symplocos crenulata","Symplocos crenata",1,0.9555555556,"False",FALSE,TRUE,FALSE,TRUE
"Tacca chantrieri","Tacca chantieri",1,0.9555555556,"False",FALSE,TRUE,FALSE,TRUE
"Veronica crenata","Veronica crenulata",1,0.9555555556,"False",FALSE,TRUE,FALSE,TRUE
"Viola variata","Viola variegata",1,0.9555555556,"False",FALSE,TRUE,FALSE,TRUE
"Impatiens bipindensis","Impatiens bipindinsis",1,0.9557575758,"False",FALSE,TRUE,FALSE,TRUE
"Lepanthes lancipetala","Lepanthes lanceipetala",1,0.9560606061,"False",FALSE,TRUE,FALSE,TRUE
"Conyza clethrifolia","Conyza clethraefolia",1,0.9562548563,"False",FALSE,TRUE,FALSE,TRUE
"Cyclobalanopsis myrsinaefolia","Cyclobalanopsis myrsinifolia",1,0.9562548563,"False",FALSE,TRUE,FALSE,TRUE
"Jatropha panduraefolia","Jatropha pandurifolia",1,0.9562548563,"False",FALSE,TRUE,FALSE,TRUE
"Lobelia persicaefolia","Lobelia persicifolia",1,0.9562548563,"False",FALSE,TRUE,FALSE,TRUE
"Myrcia guajavaefolia","Myrcia guajavifolia",1,0.9562548563,"False",FALSE,TRUE,FALSE,TRUE
"Quercus myrsinaefolia","Quercus myrsinifolia",1,0.9562548563,"False",FALSE,TRUE,FALSE,TRUE
"Athyana weimannifolia","Athyana weinmannifolia",1,0.9564102564,"False",FALSE,TRUE,FALSE,TRUE
"Genista polygalaephylla","Genista polygaliphylla",1,0.9564468864,"False",FALSE,TRUE,FALSE,TRUE
"Vataireopsis surinemensis","Vataireopsis surinamensis",1,0.9570707071,"False",FALSE,TRUE,FALSE,TRUE
"Cornus femina","Cornus foemina",1,0.9571428571,"False",FALSE,TRUE,FALSE,TRUE
"Verbascum tapsus","Verbascum thapsus",1,0.9571428571,"False",FALSE,TRUE,FALSE,TRUE
"Hydrotriche hottoniaeflora","Hydrotriche hottoniiflora",1,0.9571886447,"False",FALSE,TRUE,FALSE,TRUE
"Anemone baikalensis","Anemone baicalensis",1,0.9575757576,"False",FALSE,TRUE,FALSE,TRUE
"Cotoneaster cordifolius","Cotoneaster cornifolius",1,0.9575757576,"False",FALSE,TRUE,FALSE,TRUE
"Delphinium viridescens","Delphinium virescens",1,0.9575757576,"False",FALSE,TRUE,FALSE,TRUE
"Erythronium nudopetalum","Erythronium nudipetalum",1,0.9575757576,"False",FALSE,TRUE,FALSE,TRUE
"Leschenaultia linioides","Lechenaultia linarioides",0.9794871795,0.9575757576,"False",FALSE,TRUE,FALSE,TRUE
"Stevia salviifolia","Stevia salicifolia",1,0.9575757576,"False",FALSE,TRUE,FALSE,TRUE
"Bromus brizioides","Bromus brizoides",1,0.9577777778,"False",FALSE,TRUE,FALSE,TRUE
"Eugenia myrtioides","Eugenia myrtoides",1,0.9577777778,"False",FALSE,TRUE,FALSE,TRUE
"Astragalus rigidus","Astragalus frigidus",1,0.9583333333,"False",FALSE,TRUE,FALSE,TRUE
"Crataegus mollipes","Crataegus mollis",1,0.9583333333,"False",FALSE,TRUE,FALSE,TRUE
"Crotalaria pubera","Crotalaria puberula",1,0.9583333333,"False",FALSE,TRUE,FALSE,TRUE
"Erigeron rigidus","Erigeron frigidus",1,0.9583333333,"False",FALSE,TRUE,FALSE,TRUE
"Gaultheria eciliata","Gaultheria ciliata",1,0.9583333333,"False",FALSE,TRUE,FALSE,TRUE
"Haworthia asperula","Haworthia aspera",1,0.9583333333,"False",FALSE,TRUE,FALSE,TRUE
"Hieracium fusculum","Hieracium fuscum",1,0.9583333333,"False",FALSE,TRUE,FALSE,TRUE
