gbif,tank,genus_jw,se_jw,gswitch,bothtpl,suspect,remove,keep.manual
Crataegus macrosperma,Crataegus microsperma,1,0.9454545455,False,TRUE,TRUE,TRUE,
Crotalaria microphylla,Crotalaria macrophylla,1,0.9454545455,False,TRUE,TRUE,TRUE,
Diospyros macrophylla,Diospyros microphylla,1,0.9454545455,False,TRUE,TRUE,TRUE,
Duguetia microphylla,Duguetia macrophylla,1,0.9454545455,False,TRUE,TRUE,TRUE,
Euphorbia macrophylla,Euphorbia microphylla,1,0.9454545455,False,TRUE,TRUE,TRUE,
Garcinia microphylla,Garcinia macrophylla,1,0.9454545455,False,TRUE,TRUE,TRUE,
Gentiana microphylla,Gentiana macrophylla,1,0.9454545455,False,TRUE,TRUE,TRUE,
Grewia macrophylla,Grewia microphylla,1,0.9454545455,False,TRUE,TRUE,TRUE,
Ilex cerasifolia,Ilex crassifolia,1,0.9454545455,False,TRUE,TRUE,TRUE,
Kibatalia microphylla,Kibatalia macrophylla,1,0.9454545455,False,TRUE,TRUE,TRUE,
Maireana suaedifolia,Maireana sedifolia,1,0.9454545455,False,TRUE,TRUE,TRUE,
Myrcia microphylla,Myrcia macrophylla,1,0.9454545455,False,TRUE,TRUE,TRUE,
Oldenlandia microphylla,Oldenlandia macrophylla,1,0.9454545455,False,TRUE,TRUE,TRUE,
Ossaea microphylla,Ossaea macrophylla,1,0.9454545455,False,TRUE,TRUE,TRUE,
Paravallaris microphylla,Paravallaris macrophylla,1,0.9454545455,False,TRUE,TRUE,TRUE,
Premna macrophylla,Premna microphylla,1,0.9454545455,False,TRUE,TRUE,TRUE,
Psammisia urichiana,Psammisia ulbrichiana,1,0.9454545455,False,TRUE,TRUE,TRUE,
Rhododendron taronense,Rhododendron tsarongense,1,0.9454545455,False,TRUE,TRUE,TRUE,
Rosa macrophylla,Rosa microphylla,1,0.9454545455,False,TRUE,TRUE,TRUE,
Siparuna macrophylla,Siparuna microphylla,1,0.9454545455,False,TRUE,TRUE,TRUE,
Solidago macrophylla,Solidago microphylla,1,0.9454545455,False,TRUE,TRUE,TRUE,
Tabernaemontana microphylla,Tabernaemontana macrophylla,1,0.9454545455,False,TRUE,TRUE,TRUE,
Acacia michelii,Acacia mitchellii,1,0.9466666667,False,TRUE,TRUE,TRUE,
Acacia brachypoda,Acacia brachyloba,1,0.9466666667,False,TRUE,TRUE,TRUE,
Antirrhinum hispanicum,Antirrhinum hispanorum,1,0.9466666667,False,TRUE,TRUE,TRUE,
Aristida tenuissima,Aristida tenuispica,1,0.9466666667,False,TRUE,TRUE,TRUE,
Bouvardia tenuifolia,Bouvardia ternifolia,1,0.9466666667,False,TRUE,TRUE,TRUE,
Chomelia brachypoda,Chomelia brachyloba,1,0.9466666667,False,TRUE,TRUE,TRUE,
Cirsium bracteosum,Cirsium bracteatum,1,0.9466666667,False,TRUE,TRUE,TRUE,
Coccoloba cujabensis,Coccoloba cubensis,1,0.9466666667,False,TRUE,TRUE,TRUE,
Combretum bracteatum,Combretum bracteosum,1,0.9466666667,False,TRUE,TRUE,TRUE,
Cynanchum taxifolium,Cynanchum tamifolium,1,0.9466666667,False,TRUE,TRUE,TRUE,
Desmodium bracteatum,Desmodium bracteosum,1,0.9466666667,False,TRUE,TRUE,TRUE,
Diospyros tessmannii,Diospyros teysmannii,1,0.9466666667,False,TRUE,TRUE,TRUE,
Dryopteris squamifera,Dryopteris squamiseta,1,0.9466666667,False,TRUE,TRUE,TRUE,
Elaphoglossum petiolosum,Elaphoglossum petiolatum,1,0.9466666667,False,TRUE,TRUE,TRUE,
Eucalyptus kirtoniana,Eucalyptus kitsoniana,1,0.9466666667,False,TRUE,TRUE,TRUE,
Euphorbia lata,Euphorbia laeta,1,0.9466666667,False,TRUE,TRUE,TRUE,
Euphorbia trichotoma,Euphorbia trichogona,1,0.9466666667,False,TRUE,TRUE,TRUE,
Ficus chapaensis,Ficus chiapensis,1,0.9466666667,False,TRUE,TRUE,TRUE,
Gentiana trichotoma,Gentiana tricholoba,1,0.9466666667,False,TRUE,TRUE,TRUE,
Guatteria tessmannii,Guatteria teysmannii,1,0.9466666667,False,TRUE,TRUE,TRUE,
Hieracium furvescens,Hieracium fulvescens,1,0.9466666667,False,TRUE,TRUE,TRUE,
Juncus macrandrus,Juncus macranthus,1,0.9466666667,False,TRUE,TRUE,TRUE,
Lobelia organensis,Lobelia oranjensis,1,0.9466666667,False,TRUE,TRUE,TRUE,
Opuntia megacantha,Opuntia mesacantha,1,0.9466666667,False,TRUE,TRUE,TRUE,
Palaquium polyanthum,Palaquium polyandrum,1,0.9466666667,False,TRUE,TRUE,TRUE,
Saxifraga lata,Saxifraga laeta,1,0.9466666667,False,TRUE,TRUE,TRUE,
Tabernaemontana ternifolia,Tabernaemontana tenuifolia,1,0.9466666667,False,TRUE,TRUE,TRUE,
Teucrium bracteatum,Teucrium bracteosum,1,0.9466666667,False,TRUE,TRUE,TRUE,
Festuca pseudodura,Festuca pseudorubra,1,0.9476094276,False,TRUE,TRUE,TRUE,
Piper heptandrum,Piper heptaneurum,1,0.9476094276,False,TRUE,TRUE,TRUE,
Klaineanthus gabonii,Klaineanthus gaboniae,1,0.9476190476,False,TRUE,TRUE,TRUE,
Potamogeton punense,Potamogeton punensis,1,0.9476190476,False,TRUE,TRUE,TRUE,
Antidesma venenosum,Antidesma venosum,1,0.9481481481,False,TRUE,TRUE,TRUE,
Asplenium martianum,Asplenium marinum,1,0.9481481481,False,TRUE,TRUE,TRUE,
Astragalus chiwensis,Astragalus chilensis,1,0.9481481481,False,TRUE,TRUE,TRUE,
Cabralea cangerana,Cabralea canjerana,1,0.9481481481,False,TRUE,TRUE,TRUE,
Clematis parviflora,Clematis parviloba,1,0.9481481481,False,TRUE,TRUE,TRUE,
Cuscuta acutiloba,Cuscuta acutiflora,1,0.9481481481,False,TRUE,TRUE,TRUE,
Dendrobium flagellum,Dendrobium flabellum,1,0.9481481481,False,TRUE,TRUE,TRUE,
Erica macroloma,Erica macrostoma,1,0.9481481481,False,TRUE,TRUE,TRUE,
Eugenia pardensis,Eugenia paraensis,1,0.9481481481,False,TRUE,TRUE,TRUE,
Eugenia prostrata,Eugenia protracta,1,0.9481481481,False,TRUE,TRUE,TRUE,
Eugenia tetramera,Eugenia tetraptera,1,0.9481481481,False,TRUE,TRUE,TRUE,
Euphorbia perfoliata,Euphorbia perforata,1,0.9481481481,False,TRUE,TRUE,TRUE,
Ficus harmandii,Ficus harlandii,1,0.9481481481,False,TRUE,TRUE,TRUE,
Parsonsia longiloba,Parsonsia longiflora,1,0.9481481481,False,TRUE,TRUE,TRUE,
Piper comatum,Piper compactum,1,0.9481481481,False,TRUE,TRUE,TRUE,
Piper pandoense,Piper pangoense,1,0.9481481481,False,TRUE,TRUE,TRUE,
Randia longiloba,Randia longiflora,1,0.9481481481,False,TRUE,TRUE,TRUE,
Spiraea uratensis,Spiraea uralensis,1,0.9481481481,False,TRUE,TRUE,TRUE,
Calathea warszewiczii,Calathea warscewiczii,1,0.9484848485,False,TRUE,TRUE,TRUE,
Oncidium auriculatum,Oncidium exauriculatum,1,0.9487179487,False,TRUE,TRUE,TRUE,
Satyrium brachypetalum,Satyrium trachypetalum,1,0.9487179487,False,TRUE,TRUE,TRUE,
Artemisia siversiana,Artemisia sieversiana,1,0.9490909091,False,TRUE,TRUE,TRUE,
Acourtia macrocephala,Acourtia microcephala,1,0.95,False,TRUE,TRUE,TRUE,
Alchemilla alpigena,Alchemilla alpina,1,0.95,False,TRUE,TRUE,TRUE,
Allium flavidum,Allium flavum,1,0.95,False,TRUE,TRUE,TRUE,
Allium strictum,Allium striatum,1,0.95,False,TRUE,TRUE,TRUE,
Antirrhinum strictum,Antirrhinum striatum,1,0.95,False,TRUE,TRUE,TRUE,
Artemisia macrocephala,Artemisia microcephala,1,0.95,False,TRUE,TRUE,TRUE,
Asparagus nelsii,Asparagus nelsonii,1,0.95,False,TRUE,TRUE,TRUE,
Astragalus strictus,Astragalus striatus,1,0.95,False,TRUE,TRUE,TRUE,
Bromus striatus,Bromus strictus,1,0.95,False,TRUE,TRUE,TRUE,
Campylospermum striatum,Campylospermum strictum,1,0.95,False,TRUE,TRUE,TRUE,
Carex microrhyncha,Carex macrorhyncha,1,0.95,False,TRUE,TRUE,TRUE,
Celastrus microphyllus,Celastrus macrophyllus,1,0.95,False,TRUE,TRUE,TRUE,
Corispermum microspermum,Corispermum macrospermum,1,0.95,False,TRUE,TRUE,TRUE,
Cynanchum fuscatum,Cynanchum fuscum,1,0.95,False,TRUE,TRUE,TRUE,
Cyperus laevis,Cyperus levis,1,0.95,False,TRUE,TRUE,TRUE,
Desmodium strictum,Desmodium striatum,1,0.95,False,TRUE,TRUE,TRUE,
Elymus strictus,Elymus striatus,1,0.95,False,TRUE,TRUE,TRUE,
Erigeron strictus,Erigeron striatus,1,0.95,False,TRUE,TRUE,TRUE,
Erodium microphyllum,Erodium macrophyllum,1,0.95,False,TRUE,TRUE,TRUE,
Euphorbia alpina,Euphorbia alpigena,1,0.95,False,TRUE,TRUE,TRUE,
Geniostoma macrophyllum,Geniostoma microphyllum,1,0.95,False,TRUE,TRUE,TRUE,
Gnetum acutum,Gnetum acutatum,1,0.95,False,TRUE,TRUE,TRUE,
Ligustrum microphyllum,Ligustrum macrophyllum,1,0.95,False,TRUE,TRUE,TRUE,
Oberonia setigera,Oberonia setifera,1,0.95,False,TRUE,TRUE,TRUE,
Piper microphyllum,Piper macrophyllum,1,0.95,False,TRUE,TRUE,TRUE,
Psychotria levis,Psychotria laevis,1,0.95,False,TRUE,TRUE,TRUE,
Rhododendron flavidum,Rhododendron flavum,1,0.95,False,TRUE,TRUE,TRUE,
Salvia aurea,Salvia azurea,1,0.95,False,TRUE,TRUE,TRUE,
Stachys alpigena,Stachys alpina,1,0.95,False,TRUE,TRUE,TRUE,
